SP1,24/09/16,Athletic Bilbao,Sevilla,3,1,H,1,0,H,14,5,7,2,9,9,4,5,2,2,0,1
SP1,24/09/16,Eibar,Real Sociedad,2,0,H,0,0,D,17,3,3,0,15,13,5,3,4,2,0,1
SP1,24/09/16,Las Palmas,Real Madrid,2,2,D,1,1,D,8,27,6,11,7,19,0,5,3,2,0,0
SP1,24/09/16,Sporting Gijon,Barcelona,0,5,A,0,2,A,10,13,3,7,15,10,4,3,1,0,1,0
SP1,25/09/16,Atletico Madrid,Deportivo,1,0,H,0,0,D,21,8,5,1,13,19,10,0,1,2,0,1
SP1,25/09/16,Espanol,Celta Vigo,0,2,A,0,0,D,10,12,2,4,15,13,4,7,2,3,0,0
SP1,25/09/16,Leganes,Valencia,1,2,A,1,1,D,7,10,3,4,19,17,1,5,4,4,0,0
SP1,25/09/16,Villarreal,Osasuna,3,1,H,3,1,H,12,11,5,3,7,16,5,5,0,2,0,0
SP1,26/09/16,Alaves,Granada,3,1,H,0,0,D,16,13,6,3,15,19,5,6,3,3,0,0
SP1,30/09/16,Real Sociedad,Real Betis,1,0,H,0,0,D,16,5,8,2,17,22,4,2,2,3,0,0
SP1,1/10/16,Granada,Leganes,0,1,A,0,0,D,8,9,1,3,13,20,6,4,1,0,0,0
SP1,1/10/16,Deportivo,Sporting Gijon,2,1,H,1,0,H,21,7,6,2,17,26,11,4,0,4,0,0
SP1,1/10/16,Osasuna,Las Palmas,2,2,D,2,0,H,5,17,3,5,17,7,1,12,3,4,0,0
SP1,1/10/16,Sevilla,Alaves,2,1,H,0,0,D,20,6,12,1,10,13,9,2,2,6,0,0
SP1,2/10/16,Celta Vigo,Barcelona,4,3,H,3,0,H,14,13,9,4,16,11,3,6,1,3,0,0
SP1,2/10/16,Espanol,Villarreal,0,0,D,0,0,D,9,5,1,1,14,10,3,1,2,2,0,0
SP1,2/10/16,Malaga,Athletic Bilbao,2,1,H,0,1,A,15,7,3,1,19,11,7,2,7,3,1,1
SP1,2/10/16,Real Madrid,Eibar,1,1,D,1,1,D,15,7,3,4,8,15,7,5,4,5,0,0
SP1,2/10/16,Valencia,Atletico Madrid,0,2,A,0,0,D,14,17,5,10,10,15,6,5,1,3,0,0
SP1,14/10/16,Las Palmas,Espanol,0,0,D,0,0,D,13,5,8,2,13,21,8,4,2,3,0,0
SP1,15/10/16,Atletico Madrid,Granada,7,1,H,2,1,H,17,9,11,2,14,8,11,3,1,1,0,0
SP1,15/10/16,Barcelona,Deportivo,4,0,H,3,0,H,25,7,8,0,5,15,8,2,1,2,0,1
SP1,15/10/16,Real Betis,Real Madrid,1,6,A,0,4,A,13,22,2,9,14,8,2,5,4,1,0,0
SP1,15/10/16,Leganes,Sevilla,2,3,A,0,1,A,19,5,6,4,17,20,5,2,2,5,0,0
SP1,16/10/16,Alaves,Malaga,1,1,D,1,0,H,8,12,4,5,14,14,6,7,3,3,1,1
SP1,16/10/16,Athletic Bilbao,Real Sociedad,3,2,H,0,1,A,15,6,11,3,17,19,7,4,3,3,0,0
SP1,16/10/16,Sporting Gijon,Valencia,1,2,A,1,1,D,10,7,2,3,21,11,4,4,5,1,0,0
SP1,16/10/16,Villarreal,Celta Vigo,5,0,H,3,0,H,11,4,5,1,19,12,3,5,1,4,0,1
SP1,17/10/16,Eibar,Osasuna,2,3,A,2,2,D,13,8,5,4,15,12,5,0,1,2,0,0
SP1,21/10/16,Osasuna,Real Betis,1,2,A,0,1,A,13,12,5,6,20,12,6,4,3,2,1,0
SP1,22/10/16,Espanol,Eibar,3,3,D,0,3,A,11,8,5,3,11,12,7,6,1,6,1,0
SP1,22/10/16,Granada,Sporting Gijon,0,0,D,0,0,D,12,3,1,3,10,12,3,3,4,1,0,0
SP1,22/10/16,Real Sociedad,Alaves,3,0,H,1,0,H,16,10,5,3,17,20,4,2,3,5,0,0
SP1,22/10/16,Valencia,Barcelona,2,3,A,0,1,A,7,15,4,8,15,13,3,1,5,4,0,0
SP1,23/10/16,Celta Vigo,Deportivo,4,1,H,1,1,D,9,11,7,1,17,15,5,4,3,5,0,0
SP1,23/10/16,Malaga,Leganes,4,0,H,2,0,H,24,14,8,5,12,15,5,8,1,3,0,0
SP1,23/10/16,Real Madrid,Athletic Bilbao,2,1,H,1,1,D,24,10,8,3,10,17,6,4,2,3,0,0
SP1,23/10/16,Sevilla,Atletico Madrid,1,0,H,0,0,D,12,9,5,3,15,11,4,5,4,2,0,1
SP1,23/10/16,Villarreal,Las Palmas,2,1,H,0,1,A,14,8,4,4,16,12,2,1,2,3,0,0
SP1,28/10/16,Leganes,Real Sociedad,0,2,A,0,1,A,7,9,4,5,19,15,1,4,5,2,0,0
SP1,29/10/16,Alaves,Real Madrid,1,4,A,1,2,A,8,15,3,5,15,6,4,3,5,1,0,0
SP1,29/10/16,Atletico Madrid,Malaga,4,2,H,3,1,H,16,6,7,3,10,10,6,2,2,4,1,1
SP1,29/10/16,Barcelona,Granada,1,0,H,0,0,D,15,1,5,0,7,17,8,1,1,4,0,0
SP1,29/10/16,Sporting Gijon,Sevilla,1,1,D,1,1,D,9,20,5,6,17,9,3,4,6,2,0,0
SP1,30/10/16,Athletic Bilbao,Osasuna,1,1,D,1,1,D,18,7,4,3,10,11,9,2,2,1,0,0
SP1,30/10/16,Real Betis,Espanol,0,1,A,0,0,D,13,10,5,5,15,15,8,3,3,3,0,0
SP1,30/10/16,Eibar,Villarreal,2,1,H,0,1,A,13,6,9,1,16,16,3,7,2,3,0,0
SP1,30/10/16,Las Palmas,Celta Vigo,3,3,D,0,3,A,17,9,8,6,13,22,8,1,2,6,0,1
SP1,31/10/16,Deportivo,Valencia,1,1,D,1,0,H,16,10,4,3,14,21,5,6,1,5,0,0
SP1,4/11/16,Malaga,Sporting Gijon,3,2,H,1,1,D,22,7,7,4,12,20,9,2,5,4,0,1
SP1,5/11/16,Granada,Deportivo,1,1,D,0,0,D,14,13,6,5,11,7,7,6,1,2,0,0
SP1,5/11/16,Las Palmas,Eibar,1,0,H,0,0,D,16,13,6,5,10,20,7,4,1,4,0,0
SP1,5/11/16,Osasuna,Alaves,0,1,A,0,0,D,10,12,4,3,18,10,3,4,5,2,0,0
SP1,5/11/16,Real Sociedad,Atletico Madrid,2,0,H,0,0,D,12,9,3,2,18,20,6,6,2,4,0,0
SP1,6/11/16,Celta Vigo,Valencia,2,1,H,1,1,D,7,13,4,4,19,15,4,3,6,1,0,0
SP1,6/11/16,Espanol,Athletic Bilbao,0,0,D,0,0,D,6,4,3,0,13,11,5,3,1,2,0,0
SP1,6/11/16,Real Madrid,Leganes,3,0,H,2,0,H,17,7,7,3,7,20,2,2,3,5,0,0
SP1,6/11/16,Sevilla,Barcelona,1,2,A,1,1,D,15,14,4,7,18,12,3,5,4,6,0,0
SP1,6/11/16,Villarreal,Real Betis,2,0,H,1,0,H,15,7,7,3,16,12,10,1,0,2,0,0
SP1,18/11/16,Real Betis,Las Palmas,2,0,H,2,0,H,10,9,3,3,22,10,4,5,0,1,0,0
SP1,19/11/16,Atletico Madrid,Real Madrid,0,3,A,0,1,A,16,12,5,7,21,14,8,6,4,2,0,0
SP1,19/11/16,Barcelona,Malaga,0,0,D,0,0,D,28,4,8,1,13,12,14,1,0,2,0,2
SP1,19/11/16,Eibar,Celta Vigo,1,0,H,1,0,H,12,6,5,2,11,13,7,0,2,5,0,2
SP1,19/11/16,Deportivo,Sevilla,2,3,A,2,1,H,4,20,3,7,15,12,3,14,3,2,0,0
SP1,20/11/16,Alaves,Espanol,0,1,A,0,0,D,10,10,4,3,20,14,2,5,5,2,0,0
SP1,20/11/16,Athletic Bilbao,Villarreal,1,0,H,0,0,D,12,6,5,2,13,17,6,5,0,2,0,0
SP1,20/11/16,Sporting Gijon,Real Sociedad,1,3,A,1,1,D,4,20,1,9,17,9,3,5,2,1,0,0
SP1,20/11/16,Valencia,Granada,1,1,D,0,1,A,14,9,7,5,7,18,11,2,1,5,0,0
SP1,21/11/16,Leganes,Osasuna,2,0,H,1,0,H,15,5,5,2,13,17,3,2,2,3,0,0
SP1,25/11/16,Eibar,Real Betis,3,1,H,2,0,H,16,7,9,2,11,7,5,1,0,1,0,1
SP1,26/11/16,Espanol,Leganes,3,0,H,0,0,D,8,8,4,3,19,16,3,4,1,2,0,0
SP1,26/11/16,Malaga,Deportivo,4,3,H,2,1,H,10,24,4,8,15,13,2,5,3,1,0,0
SP1,26/11/16,Real Madrid,Sporting Gijon,2,1,H,2,1,H,19,9,7,3,19,18,5,6,1,3,0,0
SP1,26/11/16,Sevilla,Valencia,2,1,H,0,0,D,6,10,1,4,19,14,3,6,0,1,0,0
SP1,27/11/16,Celta Vigo,Granada,3,1,H,2,0,H,16,7,6,1,4,15,5,0,0,3,0,0
SP1,27/11/16,Osasuna,Atletico Madrid,0,3,A,0,2,A,11,7,1,5,9,6,7,4,2,2,0,0
SP1,27/11/16,Real Sociedad,Barcelona,1,1,D,0,0,D,17,10,6,2,16,11,8,6,2,4,0,0
SP1,27/11/16,Villarreal,Alaves,0,2,A,0,2,A,23,10,10,7,11,19,12,1,2,3,0,0
SP1,28/11/16,Las Palmas,Athletic Bilbao,3,1,H,1,0,H,10,10,4,3,19,21,5,3,3,4,0,1
SP1,3/12/16,Atletico Madrid,Espanol,0,0,D,0,0,D,11,5,3,3,10,19,9,2,2,2,0,0
SP1,3/12/16,Barcelona,Real Madrid,1,1,D,0,0,D,11,14,2,5,19,16,5,7,4,2,0,0
SP1,3/12/16,Granada,Sevilla,2,1,H,1,0,H,11,17,6,6,18,16,4,8,5,2,0,0
SP1,3/12/16,Leganes,Villarreal,0,0,D,0,0,D,11,9,4,3,21,16,2,4,6,3,0,0
SP1,4/12/16,Alaves,Las Palmas,1,1,D,1,0,H,9,10,2,3,15,11,3,5,3,3,0,0
SP1,4/12/16,Athletic Bilbao,Eibar,3,1,H,1,0,H,12,10,5,4,9,16,2,2,1,4,0,0
SP1,4/12/16,Real Betis,Celta Vigo,3,3,D,1,1,D,16,13,5,6,22,14,4,3,4,1,1,0
SP1,4/12/16,Sporting Gijon,Osasuna,3,1,H,1,0,H,9,15,5,2,17,13,2,5,3,1,0,0
SP1,4/12/16,Valencia,Malaga,2,2,D,2,1,H,8,19,3,6,16,7,2,13,5,1,0,0
SP1,5/12/16,Deportivo,Real Sociedad,5,1,H,3,0,H,15,14,10,3,15,10,8,6,1,4,0,0
SP1,9/12/16,Malaga,Granada,1,1,D,1,0,H,16,8,7,2,16,14,6,2,3,5,0,0
SP1,10/12/16,Las Palmas,Leganes,1,1,D,1,0,H,5,11,1,6,17,18,6,4,3,3,0,0
SP1,10/12/16,Osasuna,Barcelona,0,3,A,0,0,D,4,17,1,6,18,6,2,5,3,0,0,0
SP1,10/12/16,Real Madrid,Deportivo,3,2,H,0,0,D,17,4,5,2,16,17,10,3,3,4,0,0
SP1,10/12/16,Real Sociedad,Valencia,3,2,H,2,1,H,14,9,6,3,17,20,8,4,4,4,0,1
SP1,11/12/16,Real Betis,Athletic Bilbao,1,0,H,1,0,H,6,14,1,4,14,12,3,7,3,2,0,0
SP1,11/12/16,Celta Vigo,Sevilla,0,3,A,0,0,D,14,14,6,5,13,13,4,6,3,3,0,0
SP1,11/12/16,Eibar,Alaves,0,0,D,0,0,D,8,3,1,3,14,7,7,2,1,1,0,0
SP1,11/12/16,Espanol,Sporting Gijon,2,1,H,0,0,D,12,13,6,5,13,10,4,3,1,2,0,0
SP1,12/12/16,Villarreal,Atletico Madrid,3,0,H,2,0,H,9,13,5,3,13,13,2,7,3,3,0,0
SP1,16/12/16,Alaves,Real Betis,1,0,H,0,0,D,10,6,2,3,20,6,6,4,6,1,0,0
SP1,17/12/16,Atletico Madrid,Las Palmas,1,0,H,0,0,D,16,11,3,3,15,11,8,5,2,1,0,0
SP1,17/12/16,Granada,Real Sociedad,0,2,A,0,0,D,10,18,4,6,9,11,5,9,0,1,0,0
SP1,17/12/16,Sevilla,Malaga,4,1,H,4,0,H,9,16,5,3,17,12,3,6,2,3,1,0
SP1,17/12/16,Sporting Gijon,Villarreal,1,3,A,0,2,A,16,14,7,9,16,14,12,2,2,1,0,0
SP1,18/12/16,Barcelona,Espanol,4,1,H,1,0,H,14,4,7,1,11,16,5,2,0,3,0,0
SP1,18/12/16,Deportivo,Osasuna,2,0,H,2,0,H,8,13,4,3,8,16,5,1,1,3,0,0
SP1,18/12/16,Leganes,Eibar,1,1,D,1,0,H,8,15,2,4,10,10,3,6,2,2,1,0
SP1,19/12/16,Athletic Bilbao,Celta Vigo,2,1,H,0,0,D,10,10,7,4,16,13,9,7,4,2,0,1
SP1,6/1/17,Espanol,Deportivo,1,1,D,0,0,D,14,13,4,3,13,14,2,8,1,1,0,1
SP1,7/1/17,Eibar,Atletico Madrid,0,2,A,0,0,D,15,8,2,4,11,10,5,3,2,2,0,0
SP1,7/1/17,Las Palmas,Sporting Gijon,1,0,H,0,0,D,16,10,10,2,8,18,8,3,2,3,0,0
SP1,7/1/17,Real Madrid,Granada,5,0,H,4,0,H,23,3,13,1,11,12,9,1,1,4,0,0
SP1,7/1/17,Real Sociedad,Sevilla,0,4,A,0,2,A,11,11,5,10,15,18,7,4,2,3,0,0
SP1,8/1/17,Athletic Bilbao,Alaves,0,0,D,0,0,D,15,10,4,4,10,13,13,4,2,4,0,0
SP1,8/1/17,Real Betis,Leganes,2,0,H,0,0,D,16,9,3,3,10,20,4,2,2,6,0,0
SP1,8/1/17,Celta Vigo,Malaga,3,1,H,1,0,H,6,13,3,4,17,15,2,7,1,4,0,0
SP1,8/1/17,Villarreal,Barcelona,1,1,D,0,0,D,6,20,3,7,16,13,2,4,1,2,1,0
SP1,9/1/17,Osasuna,Valencia,3,3,D,1,2,A,22,7,4,3,19,13,7,3,2,5,0,0
SP1,14/01/17,Atletico Madrid,Real Betis,1,0,H,1,0,H,6,10,3,6,15,17,9,2,1,3,0,0
SP1,14/01/17,Barcelona,Las Palmas,5,0,H,1,0,H,22,7,10,1,15,11,5,1,3,4,0,0
SP1,14/01/17,Deportivo,Villarreal,0,0,D,0,0,D,13,4,3,1,14,8,10,0,0,1,0,0
SP1,14/01/17,Leganes,Athletic Bilbao,0,0,D,0,0,D,15,10,5,2,20,11,4,8,3,3,0,0
SP1,15/01/17,Celta Vigo,Alaves,1,0,H,0,0,D,13,9,4,1,19,10,7,4,4,3,0,1
SP1,15/01/17,Granada,Osasuna,1,1,D,0,1,A,8,13,4,3,13,23,3,5,2,4,2,0
SP1,15/01/17,Sevilla,Real Madrid,2,1,H,0,0,D,9,10,4,3,13,10,6,1,3,1,0,0
SP1,15/01/17,Sporting Gijon,Eibar,2,3,A,1,3,A,10,18,4,7,13,16,2,4,4,0,0,0
SP1,15/01/17,Valencia,Espanol,2,1,H,1,0,H,10,6,5,3,17,13,6,3,5,0,0,0
SP1,16/01/17,Malaga,Real Sociedad,0,2,A,0,0,D,5,11,1,5,22,12,8,8,0,2,0,0
SP1,20/01/17,Las Palmas,Deportivo,1,1,D,1,0,H,9,7,3,1,13,8,4,5,0,1,1,0
SP1,21/01/17,Alaves,Leganes,2,2,D,1,1,D,8,13,3,4,9,20,4,3,3,2,0,0
SP1,21/01/17,Espanol,Granada,3,1,H,2,1,H,17,7,8,4,19,17,10,5,0,3,0,0
SP1,21/01/17,Real Madrid,Malaga,2,1,H,2,0,H,14,10,7,6,7,20,5,4,2,3,0,0
SP1,21/01/17,Villarreal,Valencia,0,2,A,0,2,A,20,13,5,5,14,17,7,2,2,2,0,0
SP1,22/01/17,Athletic Bilbao,Atletico Madrid,2,2,D,1,1,D,8,11,5,5,12,9,2,6,2,3,0,0
SP1,22/01/17,Real Betis,Sporting Gijon,0,0,D,0,0,D,16,7,4,1,14,20,9,5,2,2,0,0
SP1,22/01/17,Eibar,Barcelona,0,4,A,0,1,A,14,14,6,7,12,4,8,5,3,1,0,0
SP1,22/01/17,Osasuna,Sevilla,3,4,A,1,1,D,14,13,7,9,14,8,3,6,5,3,0,0
SP1,22/01/17,Real Sociedad,Celta Vigo,1,0,H,0,0,D,17,11,6,5,13,12,4,3,2,2,0,0
SP1,27/01/17,Osasuna,Malaga,1,1,D,0,0,D,14,14,2,5,9,16,4,6,1,0,0,0
SP1,28/01/17,Alaves,Atletico Madrid,0,0,D,0,0,D,19,8,4,2,19,18,7,2,3,2,0,0
SP1,28/01/17,Eibar,Deportivo,3,1,H,2,1,H,12,20,6,7,14,7,9,10,0,2,0,0
SP1,28/01/17,Leganes,Celta Vigo,0,2,A,0,1,A,6,3,0,3,20,14,8,0,1,1,0,0
SP1,28/01/17,Villarreal,Granada,2,0,H,1,0,H,18,7,6,0,11,18,7,4,3,2,0,0
SP1,29/01/17,Athletic Bilbao,Sporting Gijon,2,1,H,0,1,A,11,5,6,3,11,22,5,0,4,3,0,0
SP1,29/01/17,Real Betis,Barcelona,1,1,D,0,0,D,17,10,7,4,17,12,8,2,2,3,0,0
SP1,29/01/17,Espanol,Sevilla,3,1,H,2,1,H,16,12,8,5,18,14,7,4,2,2,0,1
SP1,29/01/17,Real Madrid,Real Sociedad,3,0,H,1,0,H,7,9,4,3,16,11,0,3,2,1,0,1
SP1,30/01/17,Las Palmas,Valencia,3,1,H,1,1,D,9,8,4,3,17,13,6,3,1,3,0,1
SP1,4/2/17,Atletico Madrid,Leganes,2,0,H,1,0,H,12,15,4,2,10,15,3,6,1,1,0,0
SP1,4/2/17,Barcelona,Athletic Bilbao,3,0,H,2,0,H,16,10,6,5,11,18,7,3,1,3,0,0
SP1,4/2/17,Malaga,Espanol,0,1,A,0,1,A,19,4,5,3,9,18,17,2,1,4,0,0
SP1,4/2/17,Valencia,Eibar,0,4,A,0,2,A,8,11,1,7,12,10,2,6,2,1,1,0
SP1,5/2/17,Sevilla,Villarreal,0,0,D,0,0,D,14,11,4,4,14,16,9,0,2,2,0,0
SP1,5/2/17,Real Sociedad,Osasuna,3,2,H,0,1,A,13,11,6,5,6,22,3,2,2,2,0,0
SP1,5/2/17,Sporting Gijon,Alaves,2,4,A,0,1,A,12,14,4,7,20,20,8,4,7,3,0,0
SP1,6/2/17,Granada,Las Palmas,1,0,H,1,0,H,12,15,4,5,27,9,6,5,5,3,0,0
SP1,10/2/17,Espanol,Real Sociedad,1,2,A,1,1,D,7,15,2,5,15,14,5,6,3,2,0,0
SP1,11/2/17,Alaves,Barcelona,0,6,A,0,2,A,9,21,4,9,16,9,3,9,1,3,0,0
SP1,11/2/17,Athletic Bilbao,Deportivo,2,1,H,0,1,A,13,8,5,3,12,11,3,2,1,2,0,0
SP1,11/2/17,Real Betis,Valencia,0,0,D,0,0,D,16,8,2,4,15,17,4,6,4,3,0,0
SP1,11/2/17,Osasuna,Real Madrid,1,3,A,1,1,D,11,12,8,6,10,8,3,2,3,2,0,0
SP1,12/2/17,Atletico Madrid,Celta Vigo,3,2,H,1,1,D,16,14,5,6,11,13,3,3,1,2,0,0
SP1,12/2/17,Las Palmas,Sevilla,0,1,A,0,0,D,15,12,7,3,15,16,1,4,2,4,0,0
SP1,12/2/17,Leganes,Sporting Gijon,0,2,A,0,0,D,9,4,3,2,16,16,4,3,3,6,0,1
SP1,12/2/17,Villarreal,Malaga,1,1,D,0,1,A,12,11,5,5,14,12,9,9,0,5,1,0
SP1,13/02/17,Eibar,Granada,4,0,H,2,0,H,25,13,9,3,11,14,7,8,2,2,0,0
SP1,17/02/17,Granada,Real Betis,4,1,H,3,0,H,10,6,8,2,18,9,4,7,4,1,1,1
SP1,18/02/17,Deportivo,Alaves,0,1,A,0,0,D,16,6,4,4,13,13,10,6,5,3,0,0
SP1,18/02/17,Real Madrid,Espanol,2,0,H,1,0,H,12,3,3,1,12,13,13,2,3,4,0,0
SP1,18/02/17,Sevilla,Eibar,2,0,H,1,0,H,11,11,5,3,13,11,5,2,2,3,0,0
SP1,18/02/17,Sporting Gijon,Atletico Madrid,1,4,A,0,0,D,15,11,2,6,12,10,12,3,1,1,0,0
SP1,19/02/17,Barcelona,Leganes,2,1,H,1,0,H,13,11,6,6,8,18,4,4,1,3,0,0
SP1,19/02/17,Celta Vigo,Osasuna,3,0,H,1,0,H,11,8,4,3,14,18,3,5,1,0,0,0
SP1,19/02/17,Real Sociedad,Villarreal,0,1,A,0,0,D,16,7,0,3,8,19,7,4,2,4,0,0
SP1,19/02/17,Valencia,Athletic Bilbao,2,0,H,2,0,H,15,15,5,5,17,11,3,1,0,1,0,0
SP1,20/02/17,Malaga,Las Palmas,2,1,H,2,1,H,13,13,6,4,23,14,2,6,3,3,1,0
SP1,22/02/17,Valencia,Real Madrid,2,1,H,2,1,H,8,22,5,5,12,18,3,11,5,2,0,0
SP1,24/02/17,Las Palmas,Real Sociedad,0,1,A,0,0,D,18,9,7,2,14,19,6,1,2,2,0,0
SP1,25/02/17,Alaves,Valencia,2,1,H,0,0,D,13,5,5,2,13,16,2,1,4,2,0,1
SP1,25/02/17,Real Betis,Sevilla,1,2,A,1,0,H,15,13,4,4,19,17,4,4,3,3,0,0
SP1,25/02/17,Eibar,Malaga,3,0,H,1,0,H,8,4,4,2,11,18,2,2,2,4,0,1
SP1,25/02/17,Leganes,Deportivo,4,0,H,2,0,H,7,11,5,3,18,13,2,7,2,5,0,1
SP1,26/02/17,Athletic Bilbao,Granada,3,1,H,2,1,H,14,7,7,2,14,16,0,3,1,5,0,0
SP1,26/02/17,Atletico Madrid,Barcelona,1,2,A,0,0,D,12,15,4,6,28,14,6,5,4,2,0,0
SP1,26/02/17,Espanol,Osasuna,3,0,H,1,0,H,18,4,6,1,11,10,10,2,1,4,0,1
SP1,26/02/17,Sporting Gijon,Celta Vigo,1,1,D,0,0,D,20,16,6,5,9,17,7,5,2,4,1,0
SP1,26/02/17,Villarreal,Real Madrid,2,3,A,0,0,D,11,25,4,6,15,6,5,5,4,1,0,0
SP1,28/02/17,Malaga,Real Betis,1,2,A,1,0,H,15,11,4,5,8,16,7,5,3,5,0,0
SP1,28/02/17,Real Sociedad,Eibar,2,2,D,1,1,D,14,13,7,4,12,20,3,5,3,4,1,1
SP1,28/02/17,Valencia,Leganes,1,0,H,1,0,H,16,3,6,0,12,26,7,3,3,2,0,1
SP1,1/3/17,Barcelona,Sporting Gijon,6,1,H,3,1,H,25,5,9,2,14,12,10,3,1,3,0,0
SP1,1/3/17,Celta Vigo,Espanol,2,2,D,2,2,D,8,8,4,2,16,8,1,3,2,2,1,0
SP1,1/3/17,Granada,Alaves,2,1,H,1,0,H,13,11,6,5,19,15,4,4,6,4,0,2
SP1,1/3/17,Osasuna,Villarreal,1,4,A,0,2,A,17,12,3,6,10,13,8,2,3,3,0,0
SP1,1/3/17,Real Madrid,Las Palmas,3,3,D,1,1,D,20,17,7,8,15,16,7,4,4,3,1,0
SP1,2/3/17,Deportivo,Atletico Madrid,1,1,D,1,0,H,13,10,2,4,14,10,7,2,2,1,0,0
SP1,2/3/17,Sevilla,Athletic Bilbao,1,0,H,1,0,H,14,14,4,4,16,10,6,9,6,2,0,0
SP1,3/3/17,Real Betis,Real Sociedad,2,3,A,1,2,A,12,9,5,6,18,15,7,6,4,2,0,0
SP1,4/3/17,Barcelona,Celta Vigo,5,0,H,2,0,H,19,7,9,2,10,16,10,1,1,3,0,0
SP1,4/3/17,Eibar,Real Madrid,1,4,A,0,3,A,12,12,2,7,13,14,4,4,1,1,0,0
SP1,4/3/17,Leganes,Granada,1,0,H,0,0,D,16,1,4,1,17,19,7,4,3,2,0,0
SP1,4/3/17,Villarreal,Espanol,2,0,H,1,0,H,11,8,6,2,13,18,1,1,2,2,0,0
SP1,5/3/17,Athletic Bilbao,Malaga,1,0,H,0,0,D,15,8,3,2,13,18,8,2,3,5,0,0
SP1,5/3/17,Atletico Madrid,Valencia,3,0,H,1,0,H,18,6,8,2,17,9,6,2,1,2,0,0
SP1,5/3/17,Las Palmas,Osasuna,5,2,H,1,2,A,16,10,8,4,7,21,5,1,4,4,0,0
SP1,5/3/17,Sporting Gijon,Deportivo,0,1,A,0,1,A,9,7,2,3,11,13,6,4,4,5,0,0
SP1,6/3/17,Alaves,Sevilla,1,1,D,0,1,A,18,9,4,1,12,16,2,2,2,5,0,0
SP1,8/3/17,Deportivo,Real Betis,1,1,D,0,0,D,15,5,5,3,22,17,6,4,4,7,0,0
SP1,10/3/17,Espanol,Las Palmas,4,3,H,2,1,H,12,12,6,5,18,12,2,5,2,4,0,0
SP1,11/3/17,Granada,Atletico Madrid,0,1,A,0,0,D,12,15,2,6,14,15,4,9,3,3,1,0
SP1,11/3/17,Malaga,Alaves,1,2,A,0,1,A,15,4,9,2,17,13,5,3,2,1,0,1
SP1,11/3/17,Sevilla,Leganes,1,1,D,1,1,D,12,12,4,4,20,20,4,1,2,3,0,0
SP1,11/3/17,Valencia,Sporting Gijon,1,1,D,0,0,D,20,10,7,4,15,20,7,9,3,5,0,0
SP1,12/3/17,Celta Vigo,Villarreal,0,1,A,0,1,A,12,8,1,4,8,11,4,3,4,5,0,0
SP1,12/3/17,Deportivo,Barcelona,2,1,H,1,0,H,14,16,9,5,7,8,4,8,2,0,0,0
SP1,12/3/17,Real Madrid,Real Betis,2,1,H,1,1,D,14,9,4,4,8,21,8,4,1,0,0,1
SP1,12/3/17,Real Sociedad,Athletic Bilbao,0,2,A,0,1,A,16,9,4,5,15,22,8,3,3,6,0,0
SP1,13/03/17,Osasuna,Eibar,1,1,D,0,0,D,10,14,6,7,15,14,6,6,4,4,0,0
SP1,17/03/17,Las Palmas,Villarreal,1,0,H,1,0,H,19,8,10,3,14,14,8,5,2,2,0,1
SP1,18/03/17,Alaves,Real Sociedad,1,0,H,1,0,H,10,10,5,2,14,13,5,8,3,3,0,1
SP1,18/03/17,Athletic Bilbao,Real Madrid,1,2,A,0,1,A,12,9,5,4,1,4,5,5,1,4,0,0
SP1,18/03/17,Real Betis,Osasuna,2,0,H,2,0,H,9,13,5,5,12,15,5,0,0,3,0,0
SP1,18/03/17,Eibar,Espanol,1,1,D,1,0,H,16,4,4,1,12,13,6,2,2,4,0,0
SP1,19/03/17,Atletico Madrid,Sevilla,3,1,H,1,0,H,15,9,8,2,16,14,2,2,4,3,0,0
SP1,19/03/17,Barcelona,Valencia,4,2,H,2,2,D,28,6,12,5,4,12,6,3,3,4,0,1
SP1,19/03/17,Deportivo,Celta Vigo,0,1,A,0,0,D,9,9,2,2,21,12,3,1,4,4,0,0
SP1,19/03/17,Leganes,Malaga,0,0,D,0,0,D,14,8,2,1,11,16,6,7,4,2,0,0
SP1,19/03/17,Sporting Gijon,Granada,3,1,H,0,0,D,15,12,11,5,12,14,6,3,2,4,0,0
SP1,31/03/17,Espanol,Real Betis,2,1,H,0,0,D,8,10,5,3,16,14,4,4,3,2,0,0
SP1,1/4/17,Malaga,Atletico Madrid,0,2,A,0,1,A,21,7,5,6,9,11,6,0,2,2,0,0
SP1,1/4/17,Osasuna,Athletic Bilbao,1,2,A,0,2,A,8,9,6,4,19,9,6,3,4,2,0,0
SP1,1/4/17,Real Sociedad,Leganes,1,1,D,0,1,A,14,6,5,3,10,16,7,0,2,3,0,0
SP1,1/4/17,Villarreal,Eibar,2,3,A,1,0,H,15,14,7,4,9,10,11,5,4,3,0,0
SP1,2/4/17,Granada,Barcelona,1,4,A,0,1,A,7,26,5,13,15,10,1,9,1,3,1,0
SP1,2/4/17,Real Madrid,Alaves,3,0,H,1,0,H,18,12,6,3,12,16,3,3,0,2,0,0
SP1,2/4/17,Sevilla,Sporting Gijon,0,0,D,0,0,D,18,8,6,2,17,13,9,5,3,4,0,0
SP1,2/4/17,Valencia,Deportivo,3,0,H,2,0,H,14,13,8,5,17,13,3,6,3,1,0,0
SP1,3/4/17,Celta Vigo,Las Palmas,3,1,H,2,0,H,13,12,6,5,15,10,4,6,3,3,0,0
